nivel,regiao,uf,uf_nome,co_ibge6,municipio,populacao_2025,registros,estabelecimentos_cnes,municipios_com_registro,leitos_existentes,leitos_sus,uti_total_exist,uti_total_sus,pct_leitos_sus,pct_uti_sus,leitos_existentes_por_10k_hab,leitos_sus_por_10k_hab,uti_existente_por_100k_hab,uti_sus_por_100k_hab,gap_estimado_leitos_sus_para_media_nacional,gap_estimado_uti_sus_para_media_nacional
regiao,CENTRO-OESTE,,,,,17238818,813,813,357,46242,30036,6367,2626,64.95393797846114,41.24391393120779,26.824344917383545,17.423468360765803,36.93408678019572,15.233062962901515,0.0,0.0
regiao,NORDESTE,,,,,57244485,2383,2383,1339,137376,107164,12927,7324,78.00780340088517,56.65661019571439,23.998119644189305,18.720405991948397,22.582088038699276,12.794245594138895,0.0,1265.0450371581692
regiao,NORTE,,,,,18801282,665,665,334,40325,31453,4105,2198,77.99876007439553,53.54445797807552,21.44800551366657,16.729178361347913,21.833617516082146,11.690692155992341,0.0,622.9714499887846
regiao,SUDESTE,,,,,88825643,2299,2299,895,214072,126666,31478,14329,59.16981202586046,45.52068111061694,24.100247717880293,14.260071272436496,35.43796468774225,16.131602897600192,20468.704969876057,0.0
regiao,SUL,,,,,31310809,1023,1023,629,83001,58201,8706,5545,70.12084191756726,63.691706868826095,26.50873696684107,18.58814954286234,27.80509440046726,17.709539220145988,0.0,0.0
