regiao,municipios,populacao_2025,ubs,ubs_por_10k_hab,habitantes_por_ubs,pct_populacao_vinculada_aps,media_indicadores_previne_ponderada
CENTRO-OESTE,468,17238818,3600,2.0883102310146784,4788.560555555556,32.482927886502225,47.71675267991107
NORDESTE,1794,57244485,18166,3.1734061368531834,3151.188208741605,52.470298060852116,51.78435553515187
NORTE,450,18801282,3979,2.116345044981507,4725.127418949485,45.238432307078796,48.495887044652974
SUDESTE,1668,88825643,15320,1.724727171409274,5798.018472584857,30.962295531660928,43.02549298554853
SUL,1191,31310809,6773,2.16315075091161,4622.88631330282,30.912163752918755,50.54755246556116
