nivel,regiao,uf,uf_nome,co_ibge6,municipio,populacao_2025,registros,estabelecimentos_cnes,municipios_com_registro,leitos_existentes,leitos_sus,uti_total_exist,uti_total_sus,pct_leitos_sus,pct_uti_sus,leitos_existentes_por_10k_hab,leitos_sus_por_10k_hab,uti_existente_por_100k_hab,uti_sus_por_100k_hab,gap_estimado_leitos_sus_para_media_nacional,gap_estimado_uti_sus_para_media_nacional,sinais_de_oportunidade,score_heuristico_oportunidade
municipio,SUDESTE,SP,São Paulo,355700,Votorantim,133510,2,2,1,122,74,10,10,60.65573770491803,100.0,9.137892292712156,5.542655980825406,7.490075649764063,7.490075649764063,147.15184080939503,10.032032830952836,leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,6
municipio,SUL,RS,Rio Grande do Sul,430310,Cachoeirinha,141503,1,1,1,101,101,10,10,100.0,100.0,7.1376578588439825,7.1376578588439825,7.066987979053447,7.066987979053447,133.39179784324634,11.231314071442734,leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,6
municipio,SUL,PR,Paraná,411820,Paranaguá,150104,5,5,1,236,116,35,10,49.152542372881356,28.57142857142857,15.722432446836859,7.727975270479134,23.3171667643767,6.662047646964771,132.63887283988785,12.521820508256646,leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,6
municipio,SUDESTE,SP,São Paulo,355400,Tatuí,129130,3,3,1,228,99,19,8,43.42105263157895,42.10526315789473,17.65662510648184,7.666692480446062,14.713854255401532,6.195307054905909,114.89661601166337,11.37485131796075,leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,6
municipio,SUDESTE,MG,Minas Gerais,314480,Nova Lima,120959,6,6,1,515,79,114,10,15.339805825242719,8.771929824561402,42.5764101885763,6.531138650286461,94.2468109028679,8.26726411428666,121.36181194265305,8.148862700915467,leitos_sus_por_10k_abaixo_de_50pct_media_nacional;baixa_participacao_sus_na_capacidade_existente,5
municipio,NORTE,PA,Pará,150230,Capitão Poço,60318,3,3,1,199,9,0,0,4.522613065326634,0.0,32.991810073278295,1.4920919128618324,0.0,0.0,90.9133902624604,9.050199657684168,leitos_sus_por_10k_abaixo_de_50pct_media_nacional;baixa_participacao_sus_na_capacidade_existente,5
municipio,SUDESTE,SP,São Paulo,352430,Jaboticabal,73473,2,2,1,233,41,10,3,17.59656652360515,30.0,31.712329699345336,5.580281191730295,13.6104419310495,4.08313257931485,80.7039113159215,8.023994818280263,leitos_sus_por_10k_abaixo_de_50pct_media_nacional;baixa_participacao_sus_na_capacidade_existente,5
municipio,SUL,PR,Paraná,411460,Marechal Cândido Rondon,58734,3,3,1,108,28,0,0,25.925925925925924,0.0,18.387986515476555,4.7672557632717,0.0,0.0,69.28958293834924,8.812534014629495,leitos_sus_por_10k_abaixo_de_50pct_media_nacional;baixa_participacao_sus_na_capacidade_existente,5
municipio,SUDESTE,RJ,Rio de Janeiro,330490,São Gonçalo,960196,13,13,1,975,699,193,97,71.6923076923077,50.259067357512954,10.154176855558658,7.279763714908206,20.100062903823805,10.10210415373528,891.5109200645484,47.06919179199753,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,RJ,Rio de Janeiro,330350,Nova Iguaçu,843220,12,12,1,1441,774,482,59,53.71269951422624,12.240663900414937,17.089253101207277,9.179099167477053,57.16183202485709,6.996987737482508,622.7467246445813,67.51794415186916,uti_sus_por_100k_abaixo_de_50pct_media_nacional,3
