co_ibge6,municipio,uf,regiao,populacao_2025,ubs,ubs_por_10k_hab,pct_populacao_vinculada_aps,media_indicadores_previne,leitos_sus,leitos_sus_por_10k_hab,uti_total_sus,uti_sus_por_100k_hab,gap_estimado_leitos_sus_para_media_nacional,gap_estimado_uti_sus_para_media_nacional,sinais_aps,sinais_hospitalares,sinais_integrados,oportunidades_geradas,score_integrado
260720,Ipojuca,PE,NORDESTE,106539,31,2.9097325861890955,43.15113879475189,41.166666666666664,32,3.003594927679066,0,0.0,144.47588920674207,15.985265117046547,vinculo_aps_abaixo_50pct,leitos_sus_por_10k_abaixo_de_50pct_media_nacional;municipio_100k_mais_sem_uti_sus_no_arquivo,aps_fragil_e_leitos_sus_baixos,regulacao_integrada_aps_e_retaguarda,16
353980,Poá,SP,SUDESTE,106355,17,1.5984203845611396,30.02226794824816,48.5,0,0.0,0,0.0,176.17110350747666,15.957657491843225,vinculo_aps_abaixo_50pct,municipio_20k_mais_sem_leitos_sus_no_arquivo;municipio_100k_mais_sem_uti_sus_no_arquivo,aps_fragil_e_leitos_sus_baixos,regulacao_integrada_aps_e_retaguarda;validacao_cadastral_cnes_e_mapa_de_oferta,16
313380,Itaúna,MG,SUDESTE,103272,23,2.227128360058874,25.540487804878047,39.833333333333336,98,9.489503447207374,19,18.398016887442868,73.0642866007628,0.0,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
520549,Cidade Ocidental,GO,CENTRO-OESTE,101570,27,2.658265235797972,45.55540959752635,60.666666666666664,20,1.9690853598503495,0,0.0,148.2450188825575,15.23970919511557,vinculo_aps_abaixo_50pct,leitos_sus_por_10k_abaixo_de_50pct_media_nacional;municipio_100k_mais_sem_uti_sus_no_arquivo,aps_fragil_e_leitos_sus_baixos,regulacao_integrada_aps_e_retaguarda,16
280670,São Cristóvão,SE,NORDESTE,101213,22,2.1736338217422664,42.12634515743324,61.5,41,4.050863031428769,0,0.0,126.65366836822184,15.186144400563474,vinculo_aps_abaixo_50pct,leitos_sus_por_10k_abaixo_de_50pct_media_nacional;municipio_100k_mais_sem_uti_sus_no_arquivo,aps_fragil_e_leitos_sus_baixos,regulacao_integrada_aps_e_retaguarda,16
350900,Caieiras,SP,SUDESTE,98549,18,1.8265025520299547,27.318155449484514,24.166666666666668,101,10.248708764168079,6,6.088341840099848,62.24090150494396,8.786434000880618,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
293290,Valença,BA,NORDESTE,90053,32,3.5534629607009203,47.921757675389884,37.166666666666664,78,8.661565966708494,0,0.0,71.16775313016589,13.511681915405555,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
291750,Jacobina,BA,NORDESTE,86896,22,2.5317621064260725,48.353702870200465,35.5,82,9.436567851224453,9,10.35720861719757,61.93835936613878,4.038001085150758,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
330600,Três Rios,RJ,SUDESTE,82319,30,3.6443591394453287,44.85540704738761,31.0,90,10.933077418335987,19,23.08094121648708,46.35681509691099,0.0,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
353930,Pirassununga,SP,SUDESTE,75594,20,2.645712622694923,29.53958264325936,31.5,67,8.863137286027992,6,7.937137868084769,58.21722907756277,5.34223271532506,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
